company,price,weight,star_rating,total_comments,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
oem,,1.2,3.8,13.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
applaws,1800.0,0.84,4.8,22.0,0.0,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oem,,1.2,3.8,13.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,4012.0,8.0,5.0,4.0,1.0,0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"prodiet,",490.0,1.5,5.0,1.0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
me-o,,6.8,4.3,263.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sheba,1311.0,0.07,4.5,2.0,1.0,1,0.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sheba,,0.42,4.6,118.0,1.0,0,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
schesir,454.0,0.3,5.0,1.0,0.0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
nurture,368.0,0.24,3.6,22.0,0.0,1,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
whiskas,2055.0,4.08,,,1.0,0,0.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
applaws,2400.0,1.12,5.0,3.0,0.0,0,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
purevita,,0.015,,,0.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"prodiet,",490.0,1.5,5.0,1.0,0.0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"prodiet,",490.0,1.5,,,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,627.0,1.02,,,1.0,1,1.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
whiskas,1241.0,3.0,4.3,7.0,0.5,0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
royal,2050.0,2.0,4.5,1046.0,0.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
halo,,0.006,,,0.5,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
whiskas,240.0,0.48,4.8,5.0,0.0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
farmina,2250.0,1.5,4.2,55.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
whiskas,2055.0,4.08,5.0,1.0,1.0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
whiskas,240.0,0.51,,,0.0,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
generic,,0.4,,,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
generic,800.0,1.6,,,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,435.0,0.481,4.6,132.0,1.0,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
me-o,374.0,1.3,,,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,2850.0,4.0,4.5,16.0,1.0,0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
whiskas,1178.0,2.2,4.4,38.0,1.0,1,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
pet,428.0,1.0,,,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibra,1750.0,2.0,,,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drools,300.0,0.55,,,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schesir,268.0,0.17,4.9,16.0,0.0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
schesir,396.0,0.255,,,1.0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pet,480.0,1.0,,,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matisse,340.0,0.4,4.2,45.0,0.0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
whiskas,1053.0,3.0,4.4,18.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drools,799.0,3.0,2.8,6.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,2449.0,4.0,4.7,4.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,,7.0,4.3,179.0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
whiskas,2033.0,7.0,5.0,4.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
farmina,1500.0,0.3,3.9,13.0,0.5,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
schesir,700.0,0.56,3.5,6.0,0.0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
royal,3247.0,2.0,,,0.5,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fins,,1.2,,,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wag,,10.0,,,1.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
oem,,3.0,4.3,477.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,5912.0,8.0,4.6,3.0,1.0,0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
wiggles,419.0,2.0,,,1.0,1,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
wysong,,0.005,,,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wysong,5334.0,0.005,,,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purepet,747.0,3.36,,,1.0,1,1.0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
fekrix,,7.0,,,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
heads,,2.2,3.8,6.0,1.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
whiskas,978.0,3.0,,,1.0,0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
meat,658.0,2.4,,,1.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,1348.0,10.0,3.0,1.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,,0.51,4.5,576.0,0.5,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
matisse,1999.0,3.0,4.1,9.0,0.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
royal,3950.0,4.0,4.6,3.0,1.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"prodiet,",200.0,0.5,4.0,4.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choudhary,,1.2,,,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,592.0,1.1,4.3,5.0,0.5,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sk,259.0,1.2,,,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wag,1190.0,1.6,3.6,6.0,1.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
choudhary,,1.2,,,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamicsales,1900.0,2.0,4.0,20.0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
